epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.9789,0,120.681,0,0,0,0,0,0,45.9688,0,0.00016,0.00016,0.00016
2,17.7774,0,110.621,0,0,0,0,0,0,39.8125,0,0.000328366,0.000328366,0.000328366
3,26.2188,0,100.69,0,0,0,0,0,0,4.11719,0,0.00049505,0.00049505,0.00049505
4,31.3734,0,94.115,0,0,0,0,0,0,1.77539,0,0.00066005,0.00066005,0.00066005
5,36.9999,0,90.0363,0,0,0,0,0,0,3.76953,0,0.000823368,0.000823368,0.000823368
6,46.2409,0,84.9388,0,0,0,0,0,0,2.02734,0,0.00097525,0.00097525,0.00097525
7,51.4848,0,80.8276,0,0,0,0,0,0,119.062,0,0.0009703,0.0009703,0.0009703
8,57.6096,0,76.0545,0,0,0,0,0,0,0.00586,0,0.00096535,0.00096535,0.00096535
9,64.9275,0,71.4349,0,0,0,0,0,0,0.12305,0,0.0009604,0.0009604,0.0009604
10,70.1152,0,67.0944,0,0,0,0,0,0,0.0293,0,0.00095545,0.00095545,0.00095545
11,76.4731,0,62.6592,0,0,0,0,0,0,0,0,0.0009505,0.0009505,0.0009505
12,83.4344,0,58.4581,0,0,0,0,0,0,0,0,0.00094555,0.00094555,0.00094555
13,88.4217,0,54.3208,0,0,0,0,0,0,0,0,0.0009406,0.0009406,0.0009406
14,95.12,0,50.4048,0,0,0,0,0,0,0,0,0.00093565,0.00093565,0.00093565
15,101.879,0,46.7458,0,0,0,0,0,0,0,0,0.0009307,0.0009307,0.0009307
16,106.78,0,43.2231,0,0,0,0,0,0,0,0,0.00092575,0.00092575,0.00092575
17,113.699,0,39.7839,0,0,0,0,0,0,0,0,0.0009208,0.0009208,0.0009208
