epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.0931,1.56549,3.04475,1.80791,0.00784,0.93333,0.66808,0.45918,0.98111,3.02101,1.57411,0.00022864,0.00022864,0.00022864
2,38.3306,1.40897,2.35241,1.6067,0.0056,0.9,0.61711,0.49173,1.2386,2.83864,1.88872,0.000469236,0.000469236,0.000469236
3,47.3898,1.45624,2.20487,1.66159,0.55929,0.27216,0.34895,0.16649,1.54308,2.46246,2.09602,0.000707426,0.000707426,0.000707426
4,53.0115,1.45364,2.10535,1.64429,0.31883,0.43333,0.4891,0.23821,1.45926,2.36797,2.07505,0.000943212,0.000943212,0.000943212
5,59.5891,1.48254,2.10385,1.68892,0.50997,0.19593,0.53919,0.2851,1.78552,2.60204,3.11919,0.00117659,0.00117659,0.00117659
6,68.0882,1.43025,2.01117,1.65427,0.72925,0.4,0.44308,0.35984,1.75861,3.43046,2.95906,0.00139363,0.00139363,0.00139363
7,73.4775,1.50359,1.99103,1.68652,0.50395,0.72229,0.60672,0.40258,1.41209,2.20685,2.15048,0.00138656,0.00138656,0.00138656
8,80.6514,1.51208,1.93502,1.70083,0.49669,0.8,0.58046,0.3546,1.53668,3.67973,2.60151,0.00137949,0.00137949,0.00137949
9,88.3755,1.50253,1.91053,1.69916,0.55897,0.6158,0.53932,0.32819,1.92488,2.74704,2.9792,0.00137241,0.00137241,0.00137241
10,94.0612,1.48638,2.01844,1.72134,0.49812,0.66667,0.66931,0.41484,1.73618,2.10766,2.54355,0.00136534,0.00136534,0.00136534
11,101.539,1.4273,1.79563,1.63446,0.30427,0.78443,0.49877,0.32245,1.47591,2.2462,2.21503,0.00135826,0.00135826,0.00135826
12,109.07,1.49671,1.8435,1.66804,0.75382,0.33333,0.36026,0.17031,2.14917,2.86223,2.78638,0.00135119,0.00135119,0.00135119
13,114.45,1.41659,1.77672,1.626,0.65546,0.38333,0.44612,0.25901,1.73398,2.43744,2.47436,0.00134412,0.00134412,0.00134412
14,123.139,1.45967,1.73681,1.62913,0.73425,0.37909,0.40837,0.20241,1.90171,2.37469,2.98839,0.00133704,0.00133704,0.00133704
15,128.919,1.40709,1.70257,1.61771,0.58112,0.36667,0.36665,0.20317,1.81732,2.40402,2.75191,0.00132997,0.00132997,0.00132997
16,134.745,1.43422,1.80336,1.65319,0.60849,0.75,0.64139,0.37367,1.68979,1.80911,2.37337,0.0013229,0.0013229,0.0013229
17,143.582,1.36587,1.62338,1.5929,0.7247,0.5,0.51258,0.27694,1.42714,2.11322,1.90294,0.00131582,0.00131582,0.00131582
